trade_id,signal_id,match_quality,symbol,position_side,bybit_close_side,close_order_type,close_create_type,close_exec_type,is_liquidation,liquidation_flag_source,side,entry_price,exit_price,qty,closed_pnl,stop,tp1,tp2,r_multiple,result_type,score,rr1,rr2,funding_pct,btc_regime,btc_score_delta,oi_change_pct,price_change_oi_window_pct,oi_score_delta,oi_signal,smc_score_delta,smc_bias,smc_event,smc_zone,smc_reason,market_regime,fear_greed_value,fear_greed_status,altseason_index,altseason_status,btc_dominance,eth_dominance,cycle_mvrv_z,cycle_puell,cycle_mayer,cycle_cbbi,market_reason,reason,selected,manual_comment,created_at,closed_at,source,comment,entry,turnover24h_m,change24h_pct
91ef77c9-60b9-48a9-aa7e-173e69129aaf,,no_signal_before_entry,ETHUSDT,long,Sell,,,,,,,2328.0,2294.76,0.04,-1.4549136,,,,,manual_loss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-07T09:28:05.176000+00:00,2026-05-07T14:32:44.195000+00:00,bybit_closed_pnl,,,,
34b4089a-1883-4c80-8931-d46df1995b28,20260512_105150_TONUSDT_LONG,strict_before_entry,TONUSDT,long,Sell,,,,,,,2.426,2.2655,4.1,-0.6704791,2.253178,2.8092,2.810645,-0.9287,SL_or_near_SL,9.0,1.99,2.0,0.005,BTC 4H weak/neutral,-1.0,-8.6,-5.23,0.0,price down + OI down: deleveraging,,,,,,,,,,,,,,,,,,"1D uptrend, 4H above EMA50, near support, RR1 >= 1.5, RR2 >= 2, RSI not overheated, funding ok, BTC weak/neutral",,,2026-05-12T08:15:21.310000+00:00,2026-05-12T23:37:18.359000+00:00,bybit_closed_pnl,,2.426805 - 2.443878,175.1,6.4
45f5eb5b-8b21-4d35-9dda-d313105d6252,,no_signal_before_entry,ZECUSDT,long,Sell,,,,,,,565.78,539.18,0.01,-0.27582354,,,,,manual_loss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-11T13:12:52.707000+00:00,2026-05-13T13:45:53.831000+00:00,bybit_closed_pnl,,,,
a3798bfa-cba6-42b4-bb1d-e2c28acec6fe,20260515_095446_NEARUSDT_LONG,strict_before_entry,NEARUSDT,long,Sell,,,,,,,1.5476,1.4949,6.4,-0.35776016,1.495684,1.6907,1.694032,-1.0151,SL_or_near_SL,11.0,1.95,2.0,-0.0096,BTC 4H supportive,1.0,-5.62,1.15,0.0,price up + OI down: possible short squeeze,,,,,,,,,,,,,,,,,,"1D uptrend, 4H above EMA50, near support, RR1 >= 1.5, RR2 >= 2, RSI not overheated, funding ok, BTC supportive",,,2026-05-15T09:08:44.339000+00:00,2026-05-16T07:13:07.023000+00:00,bybit_closed_pnl,,1.553991 - 1.5649236,56.4,-0.95
445f7700-1b58-4eb0-9dca-fa0f8c205d20,,no_symbol_side_match,AVAXUSDT,long,Sell,,,,,,,10.063,9.318,0.9,-0.68546741,,,,,manual_loss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-11T13:35:04.453000+00:00,2026-05-16T07:12:52.594000+00:00,bybit_closed_pnl,,,,
bcdf0f02-9fc9-4783-b7fd-a3397b1c7f83,20260515_121226_LINKUSDT_LONG,strict_before_entry,LINKUSDT,long,Sell,,,,,,,10.25,9.981,0.9,-0.2544039,9.98184,10.865,10.94232,-1.0031,SL_or_near_SL,11.0,1.76,2.0,0.0068,BTC 4H supportive,1.0,-6.58,-2.66,0.0,price down + OI down: deleveraging,,,,,,,,,,,,,,,,,,"1D uptrend, 4H above EMA50, near support, RR1 >= 1.5, RR2 >= 2, RSI not overheated, funding ok, BTC supportive",yes,,2026-05-15T09:50:25.405000+00:00,2026-05-15T14:00:10.597000+00:00,bybit_closed_pnl,,10.25049 - 10.322604,66.3,0.48
745ff5cd-3f28-404a-a34a-27892d3f3f54,,no_signal_before_entry,ADAUSDT,long,Sell,,,,,,,0.2796,0.2581,35.0,-0.77499042,,,,,manual_loss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-11T12:42:52.202000+00:00,2026-05-15T13:51:25.954000+00:00,bybit_closed_pnl,,,,
ba7e21b0-a2b6-409c-994a-1a52f3193a76,20260512_105150_LDOUSDT_LONG,strict_before_entry,LDOUSDT,long,Sell,,,,,,,0.4015,0.3726,49.8,-1.47919661,0.371036,0.4566,0.470529,-0.9487,SL_or_near_SL,10.0,1.58,2.0,-0.0103,BTC 4H weak/neutral,-1.0,16.49,1.15,1.0,price up + OI up: long confirmation,,,,,,,,,,,,,,,,,,"1D uptrend, 4H above EMA50, near support, RR1 >= 1.5, RR2 >= 2, RSI not overheated, funding ok, BTC weak/neutral, OI confirms",,,2026-05-15T13:06:59.303000+00:00,2026-05-15T13:06:59.306000+00:00,bybit_closed_pnl,,0.402179 - 0.405008,57.3,-4.65
a3ab1de8-cea7-47d6-aa96-526822dc157e,20260512_105150_XRPUSDT_LONG,strict_before_entry,XRPUSDT,long,Sell,,,,,,,1.4549,1.5086,6.9,0.35551768,1.36902,1.5075,1.648859,0.6253,manual_profit,7.0,0.48,2.0,0.0042,BTC 4H weak/neutral,-1.0,4.13,5.18,1.0,price up + OI up: long confirmation,,,,,,,,,,,,,,,,,,"1D uptrend, 4H above EMA50, near support, RR2 >= 2, funding ok, BTC weak/neutral, OI confirms",,,2026-05-12T09:16:57.414000+00:00,2026-05-14T18:14:14.166000+00:00,bybit_closed_pnl,,1.454989 - 1.465225,395.6,0.98
de9d3457-a4aa-4c74-b9ca-a18765b61583,20260519_084745_XAUTUSDT_SHORT,strict_before_entry,XAUTUSDT,short,Buy,Market,CreateByStopLoss,Trade,False,,,4535.4,4513.6,0.001,0.0156869,4723.1985,4477.1,4154.103,0.1161,BE,10.0,0.3,2.0,-0.0113,BTC 4H bearish trend,2.0,0.46,-0.41,0.0,OI neutral,2.0,swing bullish,internal bearish CHoCH 25 bars ago,discount,"SMC bearish internal CHoCH, SMC discount zone, SMC bearish FVG",,,,,,,,,,,,,"1D downtrend, 4H below EMA50, near resistance, RSI not oversold, too close to support, BTC supportive for short, RR2 >= 2, funding ok, SMC bearish internal CHoCH, SMC discount zone, SMC bearish FVG",yes,,2026-05-19T05:55:27.946000+00:00,2026-05-23T20:45:37.146000+00:00,bybit_closed_pnl,,4524.433 - 4556.1675,106.0,-0.04
6844239f-6738-4627-8688-822cba858149,20260520_104205_XRPUSDT_SHORT,strict_before_entry,XRPUSDT,short,Buy,Market,CreateByStopLoss,Trade,False,,,1.3675,1.3427,3.7,0.08306613,1.48338,1.347,1.14594,0.214,manual_profit,9.0,0.21,2.0,0.01,BTC 4H bearish trend,2.0,15.59,-2.77,1.0,price down + OI up: short confirmation,1.0,swing bearish,swing bearish BOS 10 bars ago,discount,"SMC bearish swing BOS, SMC discount zone, SMC bearish FVG",,,,,,,,,,,,,"1D downtrend, 4H below EMA50, near resistance, too close to support, BTC supportive for short, RR2 >= 2, funding ok, OI confirms, SMC bearish swing BOS, SMC discount zone, SMC bearish FVG",yes,,2026-05-20T08:17:16.255000+00:00,2026-05-23T18:12:55.449000+00:00,bybit_closed_pnl,,1.3681582 - 1.3777545,286.3,-1.19
d3287476-868d-4089-9d07-7b78029582b1,20260518_101911_1000PEPEUSDT_SHORT,strict_before_entry,1000PEPEUSDT,short,Buy,Market,CreateByStopLoss,Trade,False,,,0.00362396,0.00359,2700.0,0.08152484,0.00428431,0.003538,0.00230337,0.0514,BE,8.0,0.13,2.0,0.01,BTC 4H structure broken,2.0,13.04,-9.57,1.0,price down + OI up: short confirmation,2.0,swing bearish,swing bearish CHoCH 2 bars ago,discount,"SMC bearish swing CHoCH, SMC discount zone, SMC bearish FVG",,,,,,,,,,,,,"4H below EMA50, BTC supportive for short, RR2 >= 2, funding ok, OI confirms, SMC bearish swing CHoCH, SMC discount zone, SMC bearish FVG",yes,,2026-05-18T07:27:35.713000+00:00,2026-05-23T18:10:21.177000+00:00,bybit_closed_pnl,,0.00361675 - 0.00364212,104.9,-3.9
2b71227c-9deb-4eb0-b55a-b70b55e11154,20260520_104205_SOLUSDT_SHORT,strict_before_entry,SOLUSDT,short,Buy,Market,CreateByStopLoss,Trade,False,,,84.74,83.98,0.1,0.06347923,92.058,83.29,70.554,0.1039,BE,9.0,0.22,2.0,0.01,BTC 4H bearish trend,2.0,3.16,-1.35,1.0,price down + OI up: short confirmation,2.0,swing bullish,internal bearish CHoCH 28 bars ago,discount,"SMC bearish internal CHoCH, SMC discount zone, SMC bearish FVG",,,,,,,,,,,,,"4H below EMA50, near resistance, RSI not oversold, too close to support, BTC supportive for short, RR2 >= 2, funding ok, OI confirms, SMC bearish internal CHoCH, SMC discount zone, SMC bearish FVG",yes,,2026-05-20T08:12:32.166000+00:00,2026-05-23T14:45:49.399000+00:00,bybit_closed_pnl,,84.72022 - 85.31445,478.1,-0.6
ad827717-c86b-4f73-9377-47d80bacb70e,20260520_104205_XRPUSDT_SHORT,strict_before_entry,XRPUSDT,short,Buy,Market,CreateByPartialTakeProfit,Trade,False,,,1.3675,1.3472,3.6,0.06471772,1.48338,1.347,1.14594,0.1752,BE,9.0,0.21,2.0,0.01,BTC 4H bearish trend,2.0,15.59,-2.77,1.0,price down + OI up: short confirmation,1.0,swing bearish,swing bearish BOS 10 bars ago,discount,"SMC bearish swing BOS, SMC discount zone, SMC bearish FVG",,,,,,,,,,,,,"1D downtrend, 4H below EMA50, near resistance, too close to support, BTC supportive for short, RR2 >= 2, funding ok, OI confirms, SMC bearish swing BOS, SMC discount zone, SMC bearish FVG",yes,,2026-05-20T08:14:34.011000+00:00,2026-05-22T15:25:05.289000+00:00,bybit_closed_pnl,,1.3681582 - 1.3777545,286.3,-1.19
ac151122-e0ea-4cbe-8476-f023917dd8a9,20260520_104205_SUIUSDT_SHORT,strict_before_entry,SUIUSDT,short,Buy,Market,CreateByTakeOver_PassThrough,BustTrade,True,manual_user_correction,,1.0542,1.1596,10.0,-1.06723849,1.1602725,1.0092,0.855855,-0.9937,LIQUIDATION,9.0,0.49,2.0,0.01,BTC 4H bearish trend,2.0,-8.38,1.42,0.0,price up + OI down: short covering,3.0,swing bullish,internal bearish CHoCH 30 bars ago,equilibrium,"SMC bearish internal CHoCH, SMC bearish FVG",,,,,,,,,,,,,"4H below EMA50, RSI not oversold, BTC supportive for short, RR2 >= 2, funding ok, SMC bearish internal CHoCH, SMC bearish FVG",yes,,2026-05-21T04:02:09.770000+00:00,2026-05-21T04:02:09.774000+00:00,bybit_closed_pnl,"Ликвидация, подтверждено вручную",1.0566824 - 1.064094,79.8,-2.62
86d7fc49-3b8b-4b9f-8c4b-e1bd1044f063,20260519_084745_BCHUSDT_SHORT,strict_before_entry,BCHUSDT,short,Buy,Market,CreateByStopLoss,Trade,False,,,380.5,377.7,0.02,0.03780599,440.592,347.6,257.316,0.0466,BE,9.0,0.52,2.0,-0.0058,BTC 4H bearish trend,2.0,32.3,-11.85,1.0,price down + OI up: short confirmation,1.0,swing bearish,internal bearish BOS 8 bars ago,discount,"SMC bearish internal BOS, SMC discount zone, SMC bearish FVG",,,,,,,,,,,,,"1D downtrend, 4H below EMA50, BTC supportive for short, RR2 >= 2, funding ok, OI confirms, SMC bearish internal BOS, SMC discount zone, SMC bearish FVG",yes,,2026-05-19T05:58:45.548000+00:00,2026-05-21T01:46:09.454000+00:00,bybit_closed_pnl,,378.741 - 381.3975,102.6,0.53
1767d3e2-6611-41fa-8af4-b19a4d44ee90,20260519_084745_NEARUSDT_LONG,strict_before_entry,NEARUSDT,long,Sell,Market,CreateByStopLoss,Trade,False,,,1.5918,1.616,3.1,0.06902156,1.4585705,1.6394,1.882259,0.1816,BE,6.0,0.28,2.0,0.01,BTC 4H bearish trend,-2.0,-3.84,2.94,0.0,price up + OI down: possible short squeeze,3.0,swing bearish,internal bullish CHoCH 3 bars ago,equilibrium,"SMC bullish internal CHoCH, SMC bullish FVG",,,,,,,,,,,,,"1D uptrend, 4H above EMA50, BTC bearish against long, RR2 >= 2, funding ok, SMC bullish internal CHoCH, SMC bullish FVG",yes,,2026-05-19T11:45:26.394000+00:00,2026-05-19T21:04:15.585000+00:00,bybit_closed_pnl,,1.591801 - 1.6029996,74.0,6.39
a77c718d-cbd9-4945-8161-4d93372c89cb,20260519_084745_BSBUSDT_LONG,strict_before_entry,BSBUSDT,long,Sell,Market,CreateByPartialTakeProfit,Trade,False,,,0.6638,1.2621,8.0,4.77234083,0.369145,0.725,1.26331,2.0305,TP2_or_better,7.0,0.19,2.0,0.005,BTC 4H bearish trend,-2.0,57.94,57.6,1.0,price up + OI up: long confirmation,3.0,swing bearish,internal bullish CHoCH 11 bars ago,equilibrium,"SMC bullish internal CHoCH, SMC bullish FVG",,,,,,,,,,,,,"1D uptrend, 4H above EMA50, BTC bearish against long, RR2 >= 2, funding ok, OI confirms, SMC bullish internal CHoCH, SMC bullish FVG",yes,,2026-05-19T15:36:27.770000+00:00,2026-05-19T19:12:35.794000+00:00,bybit_closed_pnl,,0.663864 - 0.6685344,69.8,4.64
45666a03-7bba-4633-8a9c-c0343698947a,20260519_084745_NEARUSDT_LONG,strict_before_entry,NEARUSDT,long,Sell,Market,CreateByPartialTakeProfit,Trade,False,,,1.5918,1.6392,3.1,0.14086965,1.4585705,1.6394,1.882259,0.3558,manual_profit,6.0,0.28,2.0,0.01,BTC 4H bearish trend,-2.0,-3.84,2.94,0.0,price up + OI down: possible short squeeze,3.0,swing bearish,internal bullish CHoCH 3 bars ago,equilibrium,"SMC bullish internal CHoCH, SMC bullish FVG",,,,,,,,,,,,,"1D uptrend, 4H above EMA50, BTC bearish against long, RR2 >= 2, funding ok, SMC bullish internal CHoCH, SMC bullish FVG",yes,,2026-05-19T13:49:11.504000+00:00,2026-05-19T16:34:28.935000+00:00,bybit_closed_pnl,,1.591801 - 1.6029996,74.0,6.39
67bf23f9-4f0c-4412-8847-ff66f9a7cde5,20260519_084745_BSBUSDT_LONG,strict_before_entry,BSBUSDT,long,Sell,Market,CreateByPartialTakeProfit,Trade,False,,,0.6638,0.7261,7.0,0.42818104,0.369145,0.725,1.26331,0.2114,manual_profit,7.0,0.19,2.0,0.005,BTC 4H bearish trend,-2.0,57.94,57.6,1.0,price up + OI up: long confirmation,3.0,swing bearish,internal bullish CHoCH 11 bars ago,equilibrium,"SMC bullish internal CHoCH, SMC bullish FVG",,,,,,,,,,,,,"1D uptrend, 4H above EMA50, BTC bearish against long, RR2 >= 2, funding ok, OI confirms, SMC bullish internal CHoCH, SMC bullish FVG",yes,,2026-05-19T15:36:12.406000+00:00,2026-05-19T15:48:33.353000+00:00,bybit_closed_pnl,,0.663864 - 0.6685344,69.8,4.64
ad685d8b-e5a3-4c9c-847a-a8a818ad9fdf,20260519_084745_XAUTUSDT_SHORT,strict_before_entry,XAUTUSDT,short,Buy,Market,CreateByPartialTakeProfit,Trade,False,,,4535.4,4476.9,0.001,0.0490042,4723.1985,4477.1,4154.103,0.3115,manual_profit,10.0,0.3,2.0,-0.0113,BTC 4H bearish trend,2.0,0.46,-0.41,0.0,OI neutral,2.0,swing bullish,internal bearish CHoCH 25 bars ago,discount,"SMC bearish internal CHoCH, SMC discount zone, SMC bearish FVG",,,,,,,,,,,,,"1D downtrend, 4H below EMA50, near resistance, RSI not oversold, too close to support, BTC supportive for short, RR2 >= 2, funding ok, SMC bearish internal CHoCH, SMC discount zone, SMC bearish FVG",yes,,2026-05-19T05:56:21.637000+00:00,2026-05-19T13:31:24.869000+00:00,bybit_closed_pnl,,4524.433 - 4556.1675,106.0,-0.04
b24ea520-84c9-49dd-8e4b-865a42dce8a1,20260519_084745_XAUTUSDT_LONG,strict_before_entry,XAUTUSDT,long,Sell,Market,CreateByUser,Trade,False,,,4531.0,4531.3,0.002,-0.0175246,4454.7145,4691.071,4699.7,0.0039,BE,3.0,2.0,2.11,-0.0113,BTC 4H bearish trend,-2.0,0.46,-0.42,0.0,OI neutral,-2.0,swing bullish,internal bearish CHoCH 25 bars ago,discount,"SMC bearish internal CHoCH, SMC discount zone, SMC bearish FVG",,,,,,,,,,,,,"near support, RSI not overheated, BTC bearish against long, RR1 >= 1.5, RR2 >= 2, funding ok, SMC bearish internal CHoCH, SMC discount zone, SMC bearish FVG",,,2026-05-19T05:51:03.089000+00:00,2026-05-19T05:51:03.092000+00:00,bybit_closed_pnl,,4510.8325 - 4542.567,106.0,-0.04
711cf47c-b36c-4a07-85ed-66ac6f825d89,20260519_084745_XAUTUSDT_SHORT,strict_before_entry,XAUTUSDT,short,Buy,Market,CreateByUser,Trade,False,,,4533.0,4531.0,0.002,-0.01337306,4723.1985,4477.1,4154.103,0.0105,BE,10.0,0.3,2.0,-0.0113,BTC 4H bearish trend,2.0,0.46,-0.41,0.0,OI neutral,2.0,swing bullish,internal bearish CHoCH 25 bars ago,discount,"SMC bearish internal CHoCH, SMC discount zone, SMC bearish FVG",,,,,,,,,,,,,"1D downtrend, 4H below EMA50, near resistance, RSI not oversold, too close to support, BTC supportive for short, RR2 >= 2, funding ok, SMC bearish internal CHoCH, SMC discount zone, SMC bearish FVG",yes,,2026-05-19T05:50:52.542000+00:00,2026-05-19T05:50:52.545000+00:00,bybit_closed_pnl,,4524.433 - 4556.1675,106.0,-0.04
a0aef7f4-9072-47d6-8d26-16341d116fa5,20260518_090230_ZECUSDT_SHORT,strict_before_entry,ZECUSDT,short,Buy,Market,CreateByStopLoss,Trade,False,,,531.03,573.48,0.01,-0.43514198,572.1264,485.0,446.6472,-1.0329,SL_or_near_SL,7.0,1.08,2.0,0.0085,BTC 4H structure broken,2.0,-9.3,2.37,0.0,price up + OI down: short covering,,,,,,,,,,,,,,,,,,"near resistance, RSI not oversold, BTC supportive for short, RR2 >= 2, funding ok",yes,,2026-05-18T06:14:50.994000+00:00,2026-05-19T01:16:21.339000+00:00,bybit_closed_pnl,,529.2394 - 532.9515,179.3,3.27
d6c69615-86ef-4f57-96f8-f4ced91cd938,20260518_090230_HYPEUSDT_SHORT,strict_before_entry,HYPEUSDT,short,Buy,Market,CreateByStopLoss,Trade,False,,,45.34,47.554,0.22,-0.50926935,47.53449,41.12802,38.15,-1.0089,SL_or_near_SL,9.0,2.0,3.39,0.0074,BTC 4H structure broken,2.0,1.28,16.74,0.0,OI neutral,,,,,,,,,,,,,,,,,,"near resistance, RSI not oversold, BTC supportive for short, RR1 >= 1.5, RR2 >= 2, funding ok",yes,,2026-05-18T06:06:21.381000+00:00,2026-05-18T21:15:04.525000+00:00,bybit_closed_pnl,,45.308202 - 45.625995,516.7,6.17
5b0ea496-8cf2-4c7f-89b1-d296801f0a44,20260518_101911_BILLUSDT_SHORT,strict_before_entry,BILLUSDT,short,Buy,Market,CreateByTakeOver_PassThrough,BustTrade,True,manual_user_correction,,0.13463,0.14809,70.0,-0.95737257,0.238185,0.12802,-0.06585,-0.13,LIQUIDATION,9.0,0.09,2.0,0.005,BTC 4H structure broken,2.0,8.76,-25.87,1.0,price down + OI up: short confirmation,3.0,internal bearish,internal bearish CHoCH 11 bars ago,equilibrium,"SMC bearish internal CHoCH, SMC bearish FVG",,,,,,,,,,,,,"4H below EMA50, BTC supportive for short, RR2 >= 2, funding ok, OI confirms, SMC bearish internal CHoCH, SMC bearish FVG",yes,,2026-05-18T07:46:01.776000+00:00,2026-05-18T07:46:01.780000+00:00,bybit_closed_pnl,"Ликвидация, подтверждено вручную",0.13656632 - 0.1375242,73.0,2.88
